Latitude_Degrees_regrowth,Longitude_Degrees_regrowth,Habitat_Type_regrowth,Turbidity_regrowth,Unnamed: 4,Date_Year_regrowth,Percent_Hard_Coral_Cover_regrowth,Percent_Macroalgal_Cover_regrowth,ClimSST_regrowth,Temperature_Mean_regrowth,Temperature_Minimum_regrowth,Wispeed_regrowth,SSTA_regrowth,SSTA_DHW_regrowth,Latitude_Degrees_bleaching,Longitude_Degrees_bleaching,Turbidity_bleaching,Percent_Cover_bleaching,Date_Year_bleaching,Bleaching_Level,Percent_Bleaching,ClimSST_bleaching,Temperature_Kelvin_bleaching,Wispeed_bleaching,SSTA_bleaching,SSTA_DHW_bleaching,Regrowth_Rate,Resilience_Status
-18.57838889,146.4824444,Back Reef Slope,0.08,,2016,3.19,7.72,,,,,,,10.24,-75.62,0.1349,,2005,,90.0,302.23,302.76,2.0,0.24,6.34,-16.492146596858635,Non-Resilient
-18.57838889,146.4824444,Back Reef Slope,0.08,,2017,,,,,,,,,-17.3,179.01,0.0359,,2000,,90.0,300.51,301.37,5.0,0.16,1.01,0.0,Non-Resilient
-18.57838889,146.4824444,Back Reef Slope,0.08,,2019,3.82,3.54,,,,,,,-18.483,177.934,0.0704,,2000,,90.0,300.43,301.93,5.0,0.81,4.21,19.749216300940443,Non-Resilient
-18.57688889,146.4836111,Back Reef Slope,0.08,,2017,,,,,,,,,-18.459,178.191,0.035,,2000,,90.0,300.32,301.16,5.0,0.15,10.54,0.0,Non-Resilient
-18.57688889,146.4836111,Back Reef Slope,0.08,,2019,4.46,6.11,,,,,,,-18.402,177.934,0.0738,,2000,,90.0,300.47,301.69,5.0,0.55,5.96,16.753926701570677,Non-Resilient
-18.57688889,146.4836111,Back Reef Slope,0.08,,2017,,,,,,,,,-8.3833,116.05,0.0493,,1998,,90.0,302.5,300.9,3.0,-1.2,5.75,0.0,Non-Resilient
-18.57688889,146.4836111,Back Reef Slope,0.08,,2019,5.1,4.18,,,,,,,-0.836,120.199,0.049,,2010,,90.0,302.96,303.57,1.0,0.1,1.39,14.34977578475336,Non-Resilient
-18.55105556,146.4880278,Sheltered Reef Slope,0.08,,2018,,,,,,,,,18.472,-77.409,0.0277,,2006,,90.0,300.02,299.08,7.0,-0.64,0.0,0.0,Non-Resilient
-18.55105556,146.4880278,Sheltered Reef Slope,0.08,,2015,5.73,7.4,,,,,,,-19.678,63.417,0.0458,,2002,,90.0,262.15,301.3,5.0,0.69,1.5,12.352941176470612,Non-Resilient
-18.55105556,146.4880278,Sheltered Reef Slope,0.08,,2016,,,,,,,,,-19.656,63.383,0.0485,,2002,,90.0,300.57,301.18,5.0,0.54,1.22,0.0,Non-Resilient
-18.55105556,146.4880278,Sheltered Reef Slope,0.08,,2018,6.37,6.11,,,,,,,19.9729,-87.4528,0.0447,,2006,,90.0,262.15,301.28,4.0,0.6,0.0,11.16928446771379,Non-Resilient
-18.55105556,146.4880278,Sheltered Reef Slope,0.08,,2019,,,,,,,,,19.973,-87.453,0.0447,,2006,,90.0,262.15,301.28,4.0,0.6,0.0,0.0,Non-Resilient
-18.55105556,146.4880278,Sheltered Reef Slope,0.08,,2015,7.64,8.04,,,,,,,17.64,-63.256,0.0308,,2005,,90.0,301.25,303.25,6.0,1.31,9.85,19.937205651491354,Non-Resilient
-18.55105556,146.4880278,Sheltered Reef Slope,0.08,,2016,,,,,,,,,9.08,123.2667,0.0495,,1998,,90.0,302.05,304.04,3.0,2.05,4.86,0.0,Non-Resilient
-18.41352778,178.0646111,Back Reef Slope,0.05,,2009,7.64,18.33,,,,,,,6.5333,99.1833,0.1084,,2010,,90.0,303.55,304.44,3.0,0.72,4.82,0.0,Non-Resilient
